Case,Kernel_Name,Execution_Count
qwen2-7b-query,"void at::native::(anonymous namespace)::indexSelectLargeIndex<c10::Half, int, unsigned int, 2, 2, -2, true>(at::cuda::detail::TensorInfo<c10::Half, unsigned int>, at::cuda::detail::TensorInfo<c10::Half, unsigned int>, at::cuda::detail::TensorInfo<int, unsigned int>, int, int, unsigned int, unsigned int, long)",6
qwen2-7b-query,"fastertransformer::getPaddingOffsetAndCuSeqLensKernel(int*, int*, int const*, int, int)",6
qwen2-ast-sft,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_stages_32x6_nn,640
qwen2-ast-sft,"void fastertransformer::generalRmsNorm<__half2, false, false, true, false>(__half2*, __half2*, __half2 const*, __half2 const*, __half2 const*, __half2 const*, __half2 const*, float, int, int, float const*, float*, signed char*)",192
qwen2-ast-sft,"fastertransformer::ConvertOffsetToBlockArrayData(int*, int const*, int, int, int)",192
qwen2-ast-sft,"void fastertransformer::generalRmsNorm<__half2, true, false, true, false>(__half2*, __half2*, __half2 const*, __half2 const*, __half2 const*, __half2 const*, __half2 const*, float, int, int, float const*, float*, signed char*)",192
qwen2-ast-sft,"void fastertransformer::generic_activation<fastertransformer::SiluActivation, __half2, __half2>(__half2*, __half2 const*, __half2 const*, __half2 const*, int const*, __half2 const*, int, float const*, float const*, __half2 const*, int const*, int, int, int, int)",192
qwen2-ast-sft,"void fastertransformer::addBiasResidual<__half, 1, __half>(__half*, __half const*, __half const*, __half const*, __half const*, float const*, float const*, int, int)",192
qwen2-ast-sft,"void fastertransformer::masked_multihead_attention_kernel<unsigned short, unsigned short, fastertransformer::KVBlockArray, (unsigned int)128, (unsigned int)512, false, false, true, (fastertransformer::RopeStyle)1, (unsigned int)16, (unsigned int)16, (unsigned int)4, (unsigned int)8>(fastertransformer::Multihead_attention_params<unsigned short, false>, fastertransformer::KVBlockArray)",160
qwen2-ast-sft,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x5_nn,160
qwen2-ast-sft,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x128_32x5_nn_align8>(cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x128_32x5_nn_align8::Params),64
qwen2-ast-sft,ampere_fp16_s16816gemm_fp16_128x256_ldg8_f2f_stages_64x3_nn,64
qwen2-ast-sft,"void fastertransformer::add_fusedQKV_bias_transpose_kernel<__half, __half, false, false, (fastertransformer::RopeStyle)1>(__half*, __half*, __half*, fastertransformer::PrefixPromptBatchWeightsParam, __half*, int const*, __half const*, int const*, int const*, int, int, int, int, int, fastertransformer::RopeConfig, bool, bool, bool, bool, bool)",32
qwen2-ast-sft,fmha_v2_flash_attention_fp16_64_128_S_128_causal_sm80_kernel_nl_tiled,32
qwen2-ast-sft,ampere_fp16_s16816gemm_fp16_256x128_ldg8_f2f_stages_32x3_nn,32
qwen2-ast-sft,"void fastertransformer::transposeAxis01<int>(int*, int*, int const*, int, int)",12
qwen2-ast-sft,"void fastertransformer::embedding_lookup_kernel<__half, false, false, false>(__half*, __half const*, double, __half const*, __half const*, int const*, int const*, int const*, int const*, int, long)",6
qwen2-ast-sft,"void fastertransformer::generalRmsNorm<__half2, false, false, true, true>(__half2*, __half2*, __half2 const*, __half2 const*, __half2 const*, __half2 const*, __half2 const*, float, int, int, float const*, float*, signed char*)",6
qwen2-ast-sft,ampere_s16816gemm_fp16_64x64_sliced1x2_ldg8_stages_64x5_tn,6
qwen2-ast-sft,"fastertransformer::curandInitialize(curandStateXORWOW*, int, unsigned long long)",6
qwen2-ast-sft,"void fastertransformer::batchApplyTemperaturePenalty<float>(float*, float const*, float const*, int, int, int)",6
qwen2-ast-sft,"void fastertransformer::setup_topk_runtime_args<(unsigned int)1024>(int, unsigned int, unsigned int*, int, float, float*, int, bool*)",6
qwen2-ast-sft,"void fastertransformer::topk_stage1<float, 128, 8>(float const*, float*, int*, float*, bool const*, int, int const*, int, int const*, bool const*)",6
qwen2-ast-sft,"void fastertransformer::topk_stage2_sampling<float, 128, 8, false>(int const*, float*, int*, int*, bool*, float*, float*, float*, int, int const*, float, float const*, curandStateXORWOW*, int const*, int, bool const*)",6
qwen2-ast-sft,"fastertransformer::set_topp_runtime_args(int, unsigned int, unsigned int*, int, float, float*, int, bool*, float*, float*, float const*, float*, float const*, int*, unsigned int const*)",6
qwen2-ast-sft,"void fastertransformer::batchApplyMinLengthPenaltyNew<float>(float*, int const*, int const*, int const*, int const*, int)",5
qwen2-ast-sft,"void fastertransformer::lookupHiddenStateOfLastToken<__half>(__half*, __half const*, int const*, int, int, int)",1
qwen3-32b-omega,"void cublasLt::splitKreduce_kernel<32, 16, int, float, __nv_bfloat16, float, false, float, __nv_bfloat16, __nv_bfloat16, true, false, false>(cublasLt::cublasSplitKParams<float>, float const*, __nv_bfloat16 const*, float*, __nv_bfloat16*, float const*, float const*, __nv_bfloat16 const*, float const*, __nv_bfloat16*, void*, long, float*, int*, float*, float const*, float const*, float const*, float const*)",18048
qwen3-32b-omega,"ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevComm*, unsigned long, ncclWork*)",13824
qwen3-32b-omega,nvjet_tst_256x72_64x5_4x1_v_bz_splitK_NNT,11904
qwen3-32b-omega,nvjet_tst_192x72_64x6_2x1_v_bz_NNT,11904
qwen3-32b-omega,"void rtp_llm::generalRmsNorm<__nv_bfloat162, false, false, true, false, signed char>(__nv_bfloat162*, __nv_bfloat162*, __nv_bfloat162 const*, __nv_bfloat162 const*, __nv_bfloat162 const*, __nv_bfloat162 const*, __nv_bfloat162 const*, __nv_bfloat162 const*, float, int, int, float const*, float*, signed char*)",6912
qwen3-32b-omega,"void rtp_llm::fusedQkRmsNorm<__nv_bfloat162, false>(__nv_bfloat162*, __nv_bfloat162 const*, __nv_bfloat162 const*, __nv_bfloat162 const*, __nv_bfloat162 const*, int, int, float, int, int)",6912
qwen3-32b-omega,"void rtp_llm::decode_add_fusedQKV_bias_transpose_non_int8_with_rope_cache_kernel<__nv_bfloat16, __nv_bfloat16, (rtp_llm::RopeStyle)1, 4, 4, 4>(__nv_bfloat16*, __nv_bfloat16*, __nv_bfloat16*, rtp_llm::KVBlockArray, __nv_bfloat16*, int const*, __nv_bfloat16 const*, float const*, int, int, int, int, rtp_llm::RopeConfig, bool, bool, bool, bool)",6912
qwen3-32b-omega,"void flashinfer::BatchPrefillWithPagedKVCacheKernel<flashinfer::KernelTraits<(flashinfer::MaskMode)1, (unsigned int)16, (unsigned int)1, (unsigned int)2, (unsigned int)8, (unsigned int)8, (unsigned int)1, (unsigned int)4, (flashinfer::PosEncodingMode)0, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, int, flashinfer::DefaultAttention<false, false, false, false> >, flashinfer::BatchPrefillPagedParams<__nv_bfloat16, __nv_bfloat16, __nv_bfloat16, int> >(flashinfer::BatchPrefillPagedParams<__nv_bfloat16, __nv_bfloat16, __nv_bfloat16, int>)",6912
qwen3-32b-omega,"void rtp_llm::generalRmsNorm<__nv_bfloat162, true, false, true, false, signed char>(__nv_bfloat162*, __nv_bfloat162*, __nv_bfloat162 const*, __nv_bfloat162 const*, __nv_bfloat162 const*, __nv_bfloat162 const*, __nv_bfloat162 const*, __nv_bfloat162 const*, float, int, int, float const*, float*, signed char*)",6912
qwen3-32b-omega,"void rtp_llm::generic_activation<rtp_llm::SiluActivation, __nv_bfloat162, __nv_bfloat162>(__nv_bfloat162*, __nv_bfloat162 const*, __nv_bfloat162 const*, __nv_bfloat162 const*, int const*, __nv_bfloat162 const*, int, float const*, float const*, __nv_bfloat162 const*, int const*, int, int, int, int)",6912
qwen3-32b-omega,"void rtp_llm::addBiasResidual<__nv_bfloat16, 1, __nv_bfloat16>(__nv_bfloat16*, __nv_bfloat16 const*, __nv_bfloat16 const*, __nv_bfloat16 const*, __nv_bfloat16 const*, float const*, float const*, int, int)",6912
qwen3-32b-omega,nvjet_tst_512x72_64x2_2x1_v_bz_coopA_splitK_NNT,5952
qwen3-32b-omega,"void rtp_llm::add_fusedQKV_bias_transpose_kernel<__nv_bfloat16, __nv_bfloat16, false, false, (rtp_llm::RopeStyle)1>(__nv_bfloat16*, __nv_bfloat16*, __nv_bfloat16*, __nv_bfloat16*, rtp_llm::PrefixPromptBatchWeightsParam, __nv_bfloat16*, void*, int const*, __nv_bfloat16 const*, int const*, int const*, int, int, int, int, int, rtp_llm::RopeConfig, bool, bool, bool, bool, bool, bool)",704
qwen3-32b-omega,fmha_v2_flash_attention_bf16_64_128_S_128_causal_tma_ws_sm90_kernel,704
qwen3-32b-omega,nvjet_tst_96x128_64x6_2x1_v_bz_NNN,576
qwen3-32b-omega,nvjet_tst_256x104_64x4_2x1_v_bz_coopA_NNT,448
qwen3-32b-omega,nvjet_tst_256x160_64x4_1x2_h_bz_coopA_NNT,448
qwen3-32b-omega,nvjet_tst_512x72_64x2_2x1_v_bz_coopA_NNT,384
qwen3-32b-omega,nvjet_tst_384x88_64x3_2x1_v_bz_coopA_NNT,384
qwen3-32b-omega,nvjet_tst_256x112_64x4_2x1_v_bz_coopA_NNT,384
qwen3-32b-omega,nvjet_tst_384x64_64x3_2x1_v_bz_coopB_NNN,256
qwen3-32b-omega,"ncclDevKernel_Broadcast_RING_LL(ncclDevComm*, unsigned long, ncclWork*)",216
qwen3-32b-omega,"ncclDevKernel_AllGather_RING_LL(ncclDevComm*, unsigned long, ncclWork*)",216
qwen3-32b-omega,"void rtp_llm::transposeAxis01<int>(int*, int*, int const*, int, int)",216
qwen3-32b-omega,"void rtp_llm::add_fusedQKV_bias_transpose_kernel<__nv_bfloat16, __nv_bfloat16, true, true, (rtp_llm::RopeStyle)1>(__nv_bfloat16*, __nv_bfloat16*, __nv_bfloat16*, __nv_bfloat16*, rtp_llm::PrefixPromptBatchWeightsParam, __nv_bfloat16*, void*, int const*, __nv_bfloat16 const*, int const*, int const*, int, int, int, int, int, rtp_llm::RopeConfig, bool, bool, bool, bool, bool, bool)",192
qwen3-32b-omega,fmha_v2_flash_attention_bf16_64_128_S_pagedKV_128_causal_tma_ws_sm90_kernel,192
qwen3-32b-omega,nvjet_tst_256x160_64x4_2x1_v_bz_coopA_NNT,192
qwen3-32b-omega,nvjet_tst_256x120_64x4_2x1_v_bz_coopA_NNT,192
qwen3-32b-omega,nvjet_tst_384x80_64x3_2x1_v_bz_coopA_NNT,192
qwen3-32b-omega,nvjet_tst_256x144_64x4_2x1_v_bz_coopA_NNT,192
qwen3-32b-omega,nvjet_tst_256x136_64x4_2x1_v_bz_coopA_NNT,192
qwen3-32b-omega,nvjet_tst_96x64_64x8_4x1_v_bz_NNN,128
qwen3-32b-omega,nvjet_tst_192x64_64x6_2x1_v_bz_NNT,128
qwen3-32b-omega,nvjet_tst_128x248_64x4_2x1_v_bz_coopA_NNT,128
qwen3-32b-omega,nvjet_tst_256x104_64x4_2x1_v_bz_coopA_splitK_NNT,128
qwen3-32b-omega,nvjet_tst_128x288_64x4_2x1_v_bz_coopA_NNT,128
qwen3-32b-omega,nvjet_tst_128x304_64x3_2x1_v_bz_coopA_NNT,128
qwen3-32b-omega,nvjet_tst_128x240_64x4_2x1_v_bz_coopA_NNT,128
qwen3-32b-omega,"rtp_llm::ConvertOffsetToBlockArrayData(int*, int const*, int, int, int)",122
qwen3-32b-omega,"void rtp_llm::embedding_lookup_kernel<__nv_bfloat16, false, false, false>(__nv_bfloat16*, __nv_bfloat16 const*, double, __nv_bfloat16 const*, __nv_bfloat16 const*, int const*, int const*, int const*, int const*, int, long)",108
qwen3-32b-omega,"void rtp_llm::transposeAxis01<__nv_bfloat16>(__nv_bfloat16*, __nv_bfloat16*, int, int, int)",108
qwen3-32b-omega,"void rtp_llm::generalRmsNorm<__nv_bfloat162, false, false, true, true, signed char>(__nv_bfloat162*, __nv_bfloat162*, __nv_bfloat162 const*, __nv_bfloat162 const*, __nv_bfloat162 const*, __nv_bfloat162 const*, __nv_bfloat162 const*, __nv_bfloat162 const*, float, int, int, float const*, float*, signed char*)",108
qwen3-32b-omega,"void rtp_llm::transposeAxis01<float>(float*, float*, int, int, int)",108
qwen3-32b-omega,"void rtp_llm::batchApplyTemperaturePenalty<float>(float*, float const*, float const*, int, int, int)",108
qwen3-32b-omega,"void rtp_llm::batchApplyMinLengthPenaltyNew<float>(float*, int const*, int const*, int const*, int const*, int, int)",108
qwen3-32b-omega,"void rtp_llm::addBiasSoftMax<float>(float*, float const*, int const*, bool const*, int, int)",108
